# onset(ms)	end(ms)	label
19783	19830	L0T19783M10L0_
19830	19876	L0T19830M10L0_
19876	19923	L0T19876M10L0_
19923	19969	L0T19923M10L0_
19969	20016	L0T19969M11L0_L1T19969M5L1_L2T19969M1L2_
20016	20062	L0T20016M12L0_
20062	20108	L0T20062M11L0_L1T20062M2L1_
20108	20155	L0T20108M12L0_
20155	20201	L0T20155M12L0_
20201	20248	L0T20201M3L0_L1T20201M0L1_
20248	20294	L0T20248M3L0_
20294	20341	L0T20294M5L0_L1T20294M0L1_
20341	20387	L0T20341M10L0_
20387	20434	L0T20387M0L0_L1T20387M2L1_L2T20387M1L2_
20434	20480	L0T20434M13L0_
20480	20526	L0T20480M3L0_L1T20480M6L1_
20526	20573	L0T20526M13L0_
20573	20619	L0T20573M3L0_L1T20573M6L1_
20619	20666	L0T20619M13L0_
20666	20712	L0T20666M3L0_L1T20666M6L1_
20712	20759	L0T20712M13L0_
20759	20805	L0T20759M3L0_L1T20759M6L1_
20805	20852	L0T20805M13L0_
20852	20898	L0T20852M3L0_L1T20852M6L1_
20898	20944	L0T20898M13L0_
20944	20991	L0T20944M3L0_L1T20944M6L1_
20991	21037	L0T20991M14L0_
21037	21084	L0T21037M15L0_L1T21037M6L1_
21084	21130	L0T21084M15L0_
21130	21177	L0T21130M13L0_L1T21130M6L1_
21177	21223	L0T21177M3L0_
21223	21269	L0T21223M13L0_
21269	21316	L0T21269M3L0_
21316	21362	L0T21316M13L0_
21362	21409	L0T21362M3L0_
21409	21455	L0T21409M13L0_
21455	21502	L0T21455M16L0_
21502	21548	L0T21502M17L0_
21548	21595	L0T21548M5L0_
21595	21641	L0T21595M18L0_
21641	21687	L0T21641M19L0_
21687	21734	L0T21687M5L0_
21734	21780	L0T21734M5L0_
21780	21827	L0T21780M5L0_
21827	21873	L0T21827M5L0_
21873	21920	L0T21873M5L0_
21920	21966	L0T21920M20L0_L1T21920M6L1_
21966	22013	L0T21966M20L0_
22013	22059	L0T22013M20L0_
22059	22105	L0T22059M20L0_
22105	22152	L0T22105M20L0_
22152	22198	L0T22152M20L0_
22198	22245	L0T22198M20L0_
22245	22291	L0T22245M20L0_
22291	22338	L0T22291M20L0_
22338	22384	L0T22338M20L0_
22384	22430	L0T22384M21L0_L1T22384M6L1_
22430	22477	L0T22430M21L0_
22477	22523	L0T22477M21L0_
22523	22570	L0T22523M21L0_
22570	22616	L0T22570M21L0_
22616	22663	L0T22616M21L0_
22663	22709	L0T22663M21L0_
22709	22756	L0T22709M21L0_
22756	22802	L0T22756M21L0_
22802	22848	L0T22802M21L0_
22848	22895	L0T22848M3L0_L1T22848M6L1_
22895	22941	L0T22895M22L0_
